X_id,YEAR.BUILT,YEAR.EVALUATED,AGE,CURRENT.BUILDING.EVAL.SCORE
1082,1962,2023,61,92
1083,1970,2023,53,87
1084,1970,2023,53,75
1085,1950,2023,73,98
1086,1954,2023,69,75
1087,1970,2023,53,80
1088,1970,2023,53,95
1089,1962,2023,61,89
1090,1977,2023,46,96
1091,1993,2023,30,89
1092,1950,2023,73,83
1093,1970,2023,53,88
1094,1953,2023,70,69
1095,1956,2023,67,72
1096,1968,2023,55,97
1097,1900,2023,123,97
1098,1966,2023,57,99
1099,1960,2023,63,87
1100,1960,2023,63,86
1101,1961,2023,62,97
1102,1961,2023,62,81
1103,1980,2023,43,96
1104,1970,2023,53,87
1105,1970,2023,53,87
1106,1989,2023,34,94
1107,1968,2023,55,92
1108,1956,2023,67,86
1109,1956,2023,67,82
1110,1958,2023,65,93
1111,1960,2023,63,79
1112,1958,2023,65,99
1113,1905,2023,118,91
1114,1974,2023,49,80
1115,1967,2023,56,89
1116,1959,2023,64,95
1117,1950,2023,73,93
1118,1950,2023,73,94
1119,1979,2023,44,87
1120,1980,2023,43,79
1121,1969,2023,54,92
1122,1969,2023,54,88
1123,1969,2023,54,92
1124,1969,2023,54,82
1125,1954,2023,69,84
1126,1955,2023,68,96
1127,1962,2023,61,91
1128,1957,2023,66,76
1129,1954,2023,69,95
1130,1965,2023,58,89
1131,2022,2023,1,100
1132,1968,2023,55,97
1133,1963,2023,60,95
1134,1967,2023,56,87
1135,1993,2023,30,91
1136,1959,2023,64,79
1137,1956,2023,67,78
1138,1957,2023,66,75
1139,1956,2023,67,75
